ID,Keyword,Position,URL,Country,Device,Updated,Added,Tags
41, GURPS, -, -, Brazil, desktop, 2024-01-26T16:44:15.464Z, 2024-01-25T11:19:11.182Z, 
42, gurps Foundryvtt, 46, https://campanhasdoboi.com.br/rpg/Post/rito_de_passagem, Brazil, desktop, 2024-01-26T16:45:21.663Z, 2024-01-25T11:19:11.182Z, 
43, Gurps instant defaults, -, -, Brazil, desktop, 2024-01-26T16:46:04.397Z, 2024-01-25T11:19:11.182Z, 
44, gga, -, -, Brazil, desktop, 2024-01-26T16:46:22.352Z, 2024-01-25T11:19:11.182Z, 
45, gcsga, -, -, Brazil, desktop, 2024-01-26T16:46:38.671Z, 2024-01-25T11:19:11.182Z, 
47, GURPS, -, -, Brazil, mobile, 2024-01-26T16:46:53.410Z, 2024-01-25T11:19:21.981Z, 
48, gurps Foundryvtt, 45, -, Brazil, mobile, 2024-01-26T16:47:09.275Z, 2024-01-25T11:19:21.981Z, 
49, Gurps instant defaults, -, -, Brazil, mobile, 2024-01-26T16:47:24.390Z, 2024-01-25T11:19:21.981Z, 
50, gga, -, -, Brazil, mobile, 2024-01-26T16:47:40.581Z, 2024-01-25T11:19:21.981Z, 
51, gcsga, -, -, Brazil, mobile, 2024-01-26T16:47:58.730Z, 2024-01-25T11:19:21.981Z, 
52, rpg de mesa, -, -, Brazil, desktop, 2024-01-26T16:48:14.518Z, 2024-01-25T11:41:45.830Z, 
53, rpg jogo, -, -, Brazil, desktop, 2024-01-26T16:49:05.418Z, 2024-01-25T11:41:45.830Z, 
54, criador de mapas rpg, -, -, Brazil, desktop, 2024-01-26T16:49:41.146Z, 2024-01-25T11:41:45.830Z, 
55, rpg de tabuleiro, -, -, Brazil, desktop, 2024-01-26T16:49:56.761Z, 2024-01-25T11:41:45.830Z, 
56, criar rpg, -, -, Brazil, desktop, 2024-01-26T16:50:37.217Z, 2024-01-25T11:41:45.830Z, 
57, gurps campanhas, 73, https://campanhasdoboi.com.br/rpg, Brazil, desktop, 2024-01-26T16:50:52.925Z, 2024-01-25T11:41:45.830Z, 
58, rpg campanha, -, -, Brazil, desktop, 2024-01-26T16:51:11.553Z, 2024-01-25T11:41:45.830Z, 
59, campanha rpg, -, -, Brazil, desktop, 2024-01-26T16:51:42.936Z, 2024-01-25T11:41:45.830Z, 
60, campanha de rpg, -, -, Brazil, desktop, 2024-01-26T16:52:11.321Z, 2024-01-25T11:41:45.830Z, 
61, rpg gurps, -, -, Brazil, desktop, 2024-01-26T16:52:32.136Z, 2024-01-25T11:41:45.830Z, 
62, gurps livro, -, -, Brazil, desktop, 2024-01-26T16:52:48.756Z, 2024-01-25T11:41:45.830Z, 
63, livro gurps, -, -, Brazil, desktop, 2024-01-26T16:53:06.697Z, 2024-01-25T11:41:45.830Z, 
64, campanha de rpg de mesa, -, -, Brazil, desktop, 2024-01-26T16:54:02.490Z, 2024-01-25T11:41:45.830Z, 
65, rpg criar, -, -, Brazil, desktop, 2024-01-26T16:54:23.108Z, 2024-01-25T11:41:45.830Z, 
66, gurps livros, -, -, Brazil, desktop, 2024-01-26T16:54:42.928Z, 2024-01-25T11:41:45.830Z, 
67, histórias para rpg, -, -, Brazil, desktop, 2024-01-26T16:55:00.375Z, 2024-01-25T11:41:45.830Z, 
68, rpg escrito, -, -, Brazil, desktop, 2024-01-26T16:55:38.727Z, 2024-01-25T11:41:45.830Z, 
69, criador de rpg de mesa, -, -, Brazil, desktop, 2024-01-26T16:56:09.864Z, 2024-01-25T11:41:45.830Z, 
70, histórias rpg, -, -, Brazil, desktop, 2024-01-26T16:56:37.944Z, 2024-01-25T11:41:45.830Z, 
71, rpg histórias, -, -, Brazil, desktop, 2024-01-26T16:56:59.104Z, 2024-01-25T11:41:45.830Z, 
72, histórias de rpg, -, -, Brazil, desktop, 2024-01-26T16:57:33.525Z, 2024-01-25T11:41:45.830Z, 
73, rpg como criar, -, -, Brazil, desktop, 2024-01-26T16:57:52.211Z, 2024-01-25T11:41:45.830Z, 
74, criar um rpg, -, -, Brazil, desktop, 2024-01-26T16:58:38.860Z, 2024-01-25T11:41:45.830Z, 
75, criar rpg de mesa, -, -, Brazil, desktop, 2024-01-26T17:00:02.656Z, 2024-01-25T11:41:45.830Z, 
76, mesas rpg, -, -, Brazil, desktop, 2024-01-26T17:00:18.499Z, 2024-01-25T11:41:45.830Z, 
77, rpg de mesa livros, -, -, Brazil, desktop, 2024-01-26T17:00:50.661Z, 2024-01-25T11:41:45.830Z, 
78, criar mapas rpg, -, -, Brazil, desktop, 2024-01-26T17:01:08.352Z, 2024-01-25T11:41:45.830Z, 
79, livro rpg, -, -, Brazil, desktop, 2024-01-26T17:01:24.518Z, 2024-01-25T11:41:45.830Z, 
80, personagem rpg, -, -, Brazil, desktop, 2024-01-26T17:01:42.530Z, 2024-01-25T11:41:45.830Z, 
81, rpg de 2 jogadores, -, -, Brazil, desktop, 2024-01-26T17:01:57.669Z, 2024-01-25T11:41:45.830Z, 
82, br rpg, -, -, Brazil, desktop, 2024-01-26T17:02:18.314Z, 2024-01-25T11:41:45.830Z, 
83, rpg narrado, -, -, Brazil, desktop, 2024-01-26T17:02:49.239Z, 2024-01-25T11:41:45.830Z, 
84, gerador de rpg, -, -, Brazil, desktop, 2024-01-26T17:03:05.090Z, 2024-01-25T11:41:45.830Z, 
85, bot discord rpg de mesa, 78, -, Brazil, desktop, 2024-01-26T17:03:21.080Z, 2024-01-25T11:41:45.830Z, 
